Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
ARMM	Arbo, María Mercedes	Arbo	María Mercedes	ARMM	NA	2
ARH	Archer, Robert H.	Archer	Robert H.	ARH	NA	NA
ATG	Arellano Torres, Gabriel	Arellano Torres	Gabriel	ATG	NA	2
AJC	Arias G., Juan Carlos	Arias G.	Juan Carlos	AJC	NA	2
JA	Aridy, Jao	Aridy	Jao	JA	NA	NA
L	Aristeguieta, Leandro	Aristeguieta	Leandro	L	NA	2
N	ARMAND, *	ARMAND	NA	N	NA	2
AJT	Arnason, John Thor	Arnason	John Thor	AJT	NA	2
ACJ	Aronson, James C.	Aronson	James C.	ACJ	NA	2
ALC	Arroyo Padilla, Luzmila (Chiqui)	Arroyo Padilla	Luzmila (Chiqui)	ALC	NA	2
ARVR	Arvigo, Rosita	Arvigo	Rosita	ARVR	NA	2
AE	Asplund, Erik	Asplund	Erik	AE	NA	2
ALJ	Asunción Leveau, José	Asunción Leveau	José	ALJ	NA	2
AMA	Atalahy, Anselme	Atalahy	Anselme Marcel	AMA	NA	NA
AMA	Atalahy, Anselme Marcel	Atalahy	Anselme Marcel	AMA	NA	NA
ADE	Atha, Daniel E.	Atha	Daniel E.	ADE	NA	2
ATIL	ATILAHIMENA, *	ATILAHIMENA	NA	ATIL	NA	2
AX	Aubriot, Xavier	Aubriot	Xavier	AX	NA	2
AME	Aulestia, Milton (Eduardo)	Aulestia	Milton (Eduardo)	AME	NA	2
ADF	Austin, Daniel Frank	Austin	Daniel Frank	ADF	NA	2
ALV	Averyanov, Leonid Vladimirovich	Averyanov	Leonid Vladimirovich	ALV	NA	2
AFF	Axelrod, Franklin (Frank) S.	Axelrod	Franklin (Frank) S.	AFF	NA	2
AYFF	Ayala Flores, Franklin	Ayala Flores	Franklin	AYFF	NA	2
AGA	Aymard Corredor, Gerardo Antonio	Aymard Corredor	Gerardo Antonio	AGA	NA	2
AYMA	AYMARD, *	AYMARD	NA	AYMA	NA	2
BG	Bacab W., Gilberto	Bacab W.	Gilberto	BG	NA	2
BFJ	Badré, Frederic Jean	Badré	Frederic Jean	BFJ	NA	2
BN	BAHIA, *	BAHIA	NA	BN	NA	2
BCC	Baker, Charles (Carl) Fuller	Baker	Charles (Carl) Fuller	BCC	NA	2
BTJ	Baldwin, John Thomas	Baldwin	John Thomas	BTJ	NA	2
BWL	Balée, W. L.	Balée	W. L.	BWL	NA	2
BMJ	Balick, Michael Jeffrey	Balick	Michael Jeffrey	BMJ	NA	2
BPR	Bally, Peter René Oscar	Bally	Peter René Oscar	BPR	NA	2
BH	Balslev, Henrik	Balslev	Henrik	BH	NA	2
BANM	Bang, Miguel	Bang	Miguel	BANM	NA	2
BTZ	Bangun, Tjut Zul Fatisa	Bangun	Tjut Zul Fatisa	BTZ	NA	2
BP	Barberá, Patricia	Barberá	Patricia	BP	NA	2
BPJ	Barbour, Philip J.	Barbour	Philip J.	BPJ	NA	2
BGW	Barclay, George W.	Barclay	George W.	BGW	NA	2
BVM	Bardot-Vaucoulon, Martine	Bardot-Vaucoulon	Martine	BVM	NA	1
BFD	Barlow, F. D.	Barlow	F. D.	BFD	NA	2
BLC	Barnett, Lisa Ceryle	Barnett	Lisa Ceryle	BLC	NA	2
BR	Baron, Richard	Baron	Richard	BR	NA	1
HLD	Barreto, Henrique Lamahyer de Mello	Barreto	Henrique Lamahyer de Mello	HLD	NA	2
BKA	Barringer, Kerry Alan	Barringer	Kerry Alan	BKA	NA	2
FB	Barthelat, Fabien	Barthelat	Fabien	FB	NA	1
BSF	Bascopé Sarué, Sergio Francisco	Bascopé Sarué	Sergio Francisco	BSF	NA	2
BI	Basualdo, Isabel	Basualdo	Isabel	BI	NA	2
P	Basurto, Pablo	Basurto	Pablo	P	NA	2
BGL	Bates, George L.	Bates	George L.	BGL	NA	2
DB	Baum, David	Baum	David	DB	NA	NA
BDA	Baum, David Alastair	Baum	David Alastair	BDA	NA	2
BKS	Bawa, Kamaljit Singh	Bawa	Kamaljit Singh	BKS	NA	2
BJT	Be, Jullet	Be	Jullet	BJT	NA	NA
BJR	Be, Jullet R.	Be	Jullet R.	BJR	NA	1
BEAP	Beaujard, Philippe	Beaujard	Philippe	BEAP	NA	2
BSG	Beck, Stephan G.	Beck	Stephan G.	BSG	NA	1
BHV	Behevitra, Laurent	Behevitra	Laurent	BHV	NA	NA
BRP	Belém, Romeu P.	Belém	Romeu P.	BRP	NA	2
MJ	Belgrano, Manuel Joaquín	Belgrano	Manuel Joaquín	MJ	NA	2
BAD	Bell, Deborah A.	Bell	Deborah A.	BAD	NA	2
B	Bellefroid, Elke	Bellefroid	Elke	B	NA	4
BE	Bello Carranza, Eric	Bello Carranza	Eric	BE	NA	2
BHL	Bemita, Harson Landry	Bemita	Landry Harison	BHL	NA	NA
BHL	Bemita, Landry Harison	Bemita	Landry Harison	BHL	NA	1
BCK	Berg, Cornelis (Kees) Christiaan	Berg	Cornelis (Kees) Christiaan	BCK	NA	2
BJ	Berhaut, Jean	Berhaut	Jean	BJ	NA	1
BOB	Berlin, Overton Brent	Berlin	Overton Brent	BOB	NA	2
RBE	Bernard, Roger	Bernard	Roger	RBE	NA	NA
BAL	Bernardi, Alessandro Luciano	Bernardi	Alessandro Luciano	BAL	NA	1
BAC	Bernier, Alphonse Charles Joseph	Bernier	Alphonse Charles Joseph	BAC	NA	1
