Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
DGR	Durán García, Rafael	Durán García	Rafael	DGR	NA	2
DPK	Dusén, Per Karl Hjalmar	Dusén	Per Karl Hjalmar	DPK	NA	2
DJD	Dwyer, John Duncan	Dwyer	John Duncan	DJD	NA	2
ES	Eboroke, Sylvain	Eboroke	Sylvain	ES	NA	2
SY	Eboroke, Sylvin	Eboroke	Sylvin	SY	NA	NA
EWJ	Eggeling, William Julius	Eggeling	William Julius	EWJ	NA	2
EWA	Egler, Walter Alberto	Egler	Walter Alberto	EWA	NA	1
EG	Eiten, George	Eiten	George	EG	NA	2
EEL	Ekman, Erik Leonard	Ekman	Erik Leonard	EEL	NA	2
EAD	Elmer, Adolph Daniel Edward	Elmer	Adolph Daniel Edward	EAD	NA	2
EME	Emeline	Emeline	Emeline	EME	NA	NA
EF	Eneme, F.	Eneme	F.	EF	NA	2
EJ	Espina Z., Josefina	Espina Z.	Josefina	EJ	NA	2
EM	Espinal, Mario	Espinal	Mario	EM	NA	2
EJA	Espinosa-Jiménez, Josefa Anahí	Espinosa-Jiménez	Josefa Anahí	EJA	NA	2
ERE	Espinoza Obando, Roberto Enrique	Espinoza Obando	Roberto Enrique	ERE	NA	2
EAG	Estrada Chavarría, Armando Gerardo	Estrada Chavarría	Armando Gerardo	EAG	NA	2
EN	Etkin, N.	Etkin	N.	EN	NA	2
ETUM	Etuge, Martin	Etuge	Martin	ETUM	NA	2
ERR	Evans, Randall (Randy) Joe	Evans	Randall (Randy) Joe	ERR	NA	2
ECM	Evrard, Charles Marie	Evrard	Charles Marie	ECM	NA	2
ECE	Ewango, Corneille E. N.	Ewango	Corneille E. N.	ECE	NA	2
SBE	Exp., Sino-British	Sino-British Expedition	Sino-British Expedition	SBE	NA	4
EP	Ezrom, P.	Ezrom	P.	EP	NA	2
FSA	Fakih, S. A.	Fakih	S. A.	FSA	NA	2
FLN	Faliniaina, Lucien	Faliniaina	Lucien	FLN	NA	NA
FRB	Faranirina, Lantoarisoa	Faranirina	Lantoarisoa	FRB	NA	NA
FJ	Farfán, Jim	Farfán	Jim	FJ	NA	2
FARC	Farney, Cyl	Farney	Cyl	FARC	NA	2
FHG	Faulkner, Helen G.	Faulkner	Helen G.	FHG	NA	2
FAUB	Faust, B.	Faust	B.	FAUB	NA	2
FJM	Fay, John Michael	Fay	John Michael	FJM	NA	2
SBF	Federman, Sarah Beck	Federman	Sarah Beck	SBF	NA	NA
FERM	Ferm, Julia	Ferm	Julia	FERM	NA	NA
FFJ	Fernández Casas, Francisco Javier	Fernández Casas	Francisco Javier	FFJ	NA	2
FNR	Fernández Nava, Rafael	Fernández Nava	Rafael	FNR	NA	2
FA	Fernández, Ángel	Fernández	Ángel	FA	NA	2
FL	Fernandez, L.	Fernandez	L.	FL	NA	2
FESL	Festo, Lenin	Festo	Lenin	FESL	NA	2
FCP	Feuillet, Christian Patrice Georges-André	Feuillet	Christian Patrice Georges-André	FCP	NA	2
FIGC	Figueirado, C.	Figueirado	C.	FIGC	NA	2
FM	Fleury, M.	Fleury	M.	FM	NA	2
FEJ	Florence, E. Jacques Maria	Florence	E. Jacques Maria	FEJ	NA	2
FN	Flores, Noris	Flores	Noris	FN	NA	2
FLOR	FLORESTAL, *	FLORESTAL	NA	FLOR	NA	2
FLJJ	Floret, J. J.	Floret	J. J.	FLJJ	NA	2
FJJ	Floret, Jean-Jacques	Floret	Jean-Jacques	FJJ	NA	1
FE	Forero, Enrique	Forero	Enrique	FE	NA	2
FRH	Fortunato, Renée Hersilla	Fortunato	Renée Hersilla	FRH	NA	2
FFR	Fosberg, Francis Raymond (Ray)	Fosberg	Francis Raymond (Ray)	FFR	NA	2
FPF	Foster, Paul F.	Foster	Paul F.	FPF	NA	2
FBR	Foster, Robin Bradford	Foster	Robin Bradford	FBR	NA	2
FGW	Frankie, Gordon William	Frankie	Gordon William	FGW	NA	2
CLF	Frasier, Cynthia	Frasier	Cynthia	CLF	NA	NA
FEL	Freire Mayorga, Efraín Liborio	Freire Mayorga	Efraín Liborio	FEL	NA	2
FER	Friedrichsthal, Emanuel Ritter von	Friedrichsthal	Emanuel Ritter von	FER	NA	2
FRD	Fróes, Ricardo de Lemos	Fróes	Ricardo de Lemos	FRD	NA	2
FCF	Frontier-Tanzania Coastal Forest Research Programme	Frontier-Tanzania Coastal Forest Research Programme	NA	FCF	NA	2
FHP	Fuchs, Hans Peter	Fuchs	Hans Peter	FHP	NA	2
FAF	Fuentes Claros, Alfredo Fernando	Fuentes Claros	Alfredo Fernando	FAF	NA	2
FVV	Funk, Victoria (Vicki) Ann	Funk	Victoria (Vicki) Ann	FVV	NA	2
CG	Gachet, Christien	Gachet	Christien	CG	NA	1
GPC	Gadelha Neto, P. C.	Gadelha Neto	P. C.	GPC	NA	2
GS	Gairola, Sumeet	Gairola	Sumeet	GS	NA	1
GP	Galán, Pablp	Galán	Pablp	GP	NA	2
GC	Galdames, Carmen	Galdames	Carmen	GC	NA	2
GGA	Galeano Garcés, Gloria Amparo	Galeano Garcés	Gloria Amparo	GGA	NA	2
GWL	Galiano, Washington L.	Galiano	Washington L.	GWL	NA	2
GHC	Gallardo Hernández, Claudia	Gallardo Hernández	Claudia	GHC	NA	2
GVG	Gamboa Romero, Villy Gerardo	Gamboa Romero	Villy Gerardo	GVG	NA	2
GRG	García, Ricardo Guarionex	García	Ricardo Guarionex	GRG	NA	2
GG	Garnett, George	Garnett	George	GG	NA	4
GA	Garnier, Antonio	Garnier	Antonio	GA	NA	2
GNC	Garwood, Nancy C.	Garwood	Nancy C.	GNC	NA	2
GGF	Gaumer, George F.	Gaumer	George F.	GGF	NA	2
LG	Gautier, Laurent	Gautier	Laurent Vincent	LG	NA	NA
LG	Gautier, Laurent Vincent	Gautier	Laurent Vincent	LG	NA	NA
GMF	Geay, Martin Francois	Geay	Martin Francois	GMF	NA	NA
RG	Geesink, Robert	Geesink	Robert	RG	NA	1
GPH	Gentle, Percy H.	Gentle	Percy H.	GPH	NA	2
GAH	Gentry, Alwyn Howard	Gentry	Alwyn Howard	GAH	NA	1
GRE	Gereau, Roy Emile	Gereau	Roy Emile	GRE	NA	1
GRV	Gervais	Gervais	Gervais	GRV	NA	NA
GILLESPIE	Gillespie, Lynn	Gillespie	Lynn	GILLESPIE	NA	NA
GLJ	Gillespie, Lynn Judith	Gillespie	Lynn Judith	GLJ	NA	2
GJB	Gillett, Jan Bevington	Gillett	Jan Bevington	GJB	NA	2
GWT	Gillis, William Thomas	Gillis	William Thomas	GWT	NA	2
GAF	Glaziou, Auguste François Marie	Glaziou	Auguste François Marie	GAF	NA	2
GD	Gledhill, David	Gledhill	David	GD	NA	2
GRK	Godfrey, Robert Kenneth	Godfrey	Robert Kenneth	GRK	NA	2
GLA	Gomes, L. A.	Gomes	L. A.	GLA	NA	2
GB	Gómez Chagala, Braulio	Gómez Chagala	Braulio	GB	NA	2
GM	Gómez López, Martin	Gómez López	Martin	GM	NA	2
G0MA	Gómez, Angela	Gómez	Angela	G0MA	NA	2
GAL	González Arce, Luis Alonso	González Arce	Luis Alonso	GAL	NA	2
GJC	González Ayala, Julio César	González Ayala	Julio César	GJC	NA	2
GJA	González Ramírez, José Ángel	González Ramírez	José Ángel	GJA	NA	2
GJ	González, Jorge	González	Jorge	GJ	NA	2
GZA	Goodwin, Zoë Africa	Goodwin	Zoë Africa	GZA	NA	2
GOJP	Goudot, Jules Prosper	Goudot	Jules Prosper	GOJP	NA	2
GJP	Goudot, Justin P.	Goudot	Justin P.	GJP	NA	1
GJG	Graham, James G.	Graham	James G.	GJG	NA	2
GDD	Grande, D.A. de	Grande	D.A. de	GDD	NA	2
GCA	Grández Rios, Cesár A.	Grández Rios	Cesár A.	GCA	NA	2
AG	Grandidier, Alfred	Grandidier	Alfred	AG	NA	1
GMH	Grayum, Michael Howard	Grayum	Michael Howard	GMH	NA	2
GRAA	Graziani, Antoine	Graziani	Antoine	GRAA	NA	2
GJM	Greenman, Jesse More	Greenman	Jesse More	GJM	NA	2
GPJ	Greenway, Peter (Percy) James	Greenway	Peter (Percy) James	GPJ	NA	1
GGR	Grether González, Rosaura	Grether González	Rosaura	GGR	NA	2
HG	Grevé, H.	Grevé	H.	HG	NA	1
GAJ	Grierson, Andrew John Charles	Grierson	Andrew John Charles	GAJ	NA	1
GPA	Grijalva Pineda, Alfredo	Grijalva Pineda	Alfredo	GPA	NA	2
GI	Groeninckx, Inge	Groeninckx	Inge	GI	NA	2
GUAC	Guadamuz, Catalino	Guadamuz	Catalino	GUAC	NA	2
GER	Guaglianone, Encarnación Rosa	Guaglianone	Encarnación Rosa	GER	NA	2
GE	Gudiño Jara, Edgar	Gudiño Jara	Edgar	GE	NA	2
GOO	Guerrero, Oscar Orlando	Guerrero	Oscar Orlando	GOO	NA	2
GUIJ	Guillaumet, Jean-Louis	Guillaumet	Jean-Louis	GUIJ	NA	2
GVR	Guillén Villarroel, René	Guillén Villarroel	René	GVR	NA	2
U	Guillén, Jaime	Guillén	Jaime	U	NA	2
GTR	Guittou, Riri	Guittou	Riri	GTR	NA	NA
GL	Gurgel, Luiz	Gurgel	Luiz	GL	NA	2
I	Gushilman, Iska	Gushilman	Iska	I	NA	2
GUZM	Guzmán-Teare, Myra	Guzmán-Teare	Myra	GUZM	NA	2
HO	Haba, O	Haba	O	HO	NA	2
HWB	Haber, William (Bill) Allen	Haber	William (Bill) Allen	HWB	NA	2
FH	Haerdi, Fritz	Haerdi	Fritz	FH	NA	1
TH	Haevermans, Thomas	Haevermans	Thomas	TH	NA	NA
HW	Hahn, William (Bill) James	Hahn	William (Bill) James	HW	NA	2
HHH	Haines, Henry Haselfoot	Haines	Henry Haselfoot	HHH	NA	1
HN	Hallé, Nicolas	Hallé	Nicolas	HN	NA	2
W	Hamilton, William	Hamilton	William	W	NA	2
HBE	Hammel, Barry Edward	Hammel	Barry Edward	HBE	NA	2
O	Handro, Oswaldo	Handro	Oswaldo	O	NA	2
HMM	Hanes, Margaret M.	Hanes	Margaret M.	HMM	NA	2
HRM	Hanitrarivo, R. Mitia	Hanitrarivo	R. Mitia	HRM	NA	1
HB	Hansen, Bertel	Hansen	Bertel	HB	NA	2
HBF	Hansen, Bruce Frederick	Hansen	Bruce Frederick	HBF	NA	2
DKH	Harder, Daniel Kenneth	Harder	Daniel Kenneth	DKH	NA	NA
RM	Harley, Raymond Mervyn	Harley	Raymond Mervyn	RM	NA	2
HWE	Harmon, William Edward	Harmon	William Edward	HWE	NA	2
HBJ	Harris, Brian James	Harris	Brian James	HBJ	NA	2
HDJ	Harris, David J.	Harris	David J.	HDJ	NA	2
HWH	Harris, William H.	Harris	William H.	HWH	NA	2
HTB	Hart, Terese Butler	Hart	Terese Butler	HTB	NA	2
HGS	Hartshorn, Gary Spencer	Hartshorn	Gary Spencer	HGS	NA	2
HE	Hassler, Émile	Hassler	Émile	HE	NA	2
SH	Hassold, Sonja	Hassold	Sonja	SH	HS	NA
GGH	Hatschbach, Gert Guenther	Hatschbach	Gert Guenther	GGH	NA	1
GGH	Hatschbach, Guenther	Hatschbach	Gert Guenther	GGH	NA	4
HOL	Haught, Oscar Lee	Haught	Oscar Lee	HOL	NA	2
HDL	Hazlett, Donald Lavern	Hazlett	Donald Lavern	HDL	NA	2
NH	Helme, Nick	Helme	Nick	NH	NA	NA
HEMA	Hemp, Andreas	Hemp	Andreas	HEMA	NA	2
HAJ	Henderson, Andrew James	Henderson	Andrew James	HAJ	NA	2
HTW	Henkel, Terry W.	Henkel	Terry W.	HTW	NA	2
HENA	Henry, Augustine	Henry	Augustine	HENA	NA	2
HERB	HERB, *	Herbier du Jardin botanique de Tananarive	Herbier du Jardin botanique de Tananarive	HERB	NA	1
HERB	HERB, Herb.Jard.Bot.Tan	Herbier du Jardin botanique de Tananarive	Herbier du Jardin botanique de Tananarive	HERB	NA	4
HERB	Herb.Jard.Bot.Tan.	Herbier du Jardin botanique de Tananarive	Herbier du Jardin botanique de Tananarive	HERB	NA	1
HERB	Herbier du Jardin botanique de Tananarive	Herbier du Jardin botanique de Tananarive	Herbier du Jardin botanique de Tananarive	HERB	NA	2
ISCM	Herbier, Institut Scientifique, Madagascar	Institut Scientifique Madagascar	Institut Scientifique Madagascar	ISCM	NA	1
ISCM	HERBIER, INSTITUT SCIENTIFIQUE, MADAGASCAR	Institut Scientifique Madagascar	Institut Scientifique Madagascar	ISCM	NA	2
ISCM	Ist.Sci.Mad.	Institut Scientifique Madagascar	Institut Scientifique Madagascar	ISCM	NA	4
ISCM	Institut Scientifique Madagascar	Institut Scientifique Madagascar	Institut Scientifique Madagascar	ISCM	NA	NA
HEP	Heringer, Ezechias Paulo	Heringer	Ezechias Paulo	HEP	NA	2
HM	Hernández Magaña, Rafael	Hernández Magaña	Rafael	HM	NA	2
HGA	Herrera Chacón, Gerardo Antonio del Carmen	Herrera Chacón	Gerardo Antonio del Carmen	HGA	NA	2
HH	Herrera, Heraclio	Herrera	Heraclio	HH	NA	2
HSC	Hery (?), Soanary Claude	Hery (?)	Soanary Claude	HSC	NA	NA
HHA	Hespenheide, Henry August,  III	Hespenheide	Henry August	HHA	NA	2
HJM	Hildebrandt, Johannes Maria	Hildebrandt	Johannes Maria	HJM	NA	1
HSR	Hill, Steven Richard	Hill	Steven Richard	HSR	NA	2
HGB	Hinton, George Boole	Hinton	George Boole	HGB	NA	2
HAS	Hitchcock, Albert Spear	Hitchcock	Albert Spear	HAS	NA	2
AH	Hladik, Annette	Hladik	Annette	AH	NA	1
HCM	Hladik, C. M.	Hladik	C. M.	HCM	NA	2
HHW	Hodge, Walter Hendricks	Hodge	Walter Hendricks	HHW	NA	2
HF	Hoehne, Frederico Carlos	Hoehne	Frederico Carlos	HF	NA	2
HOFF	HOFFMAN, *	HOFFMAN	NA	HOFF	NA	2
HOFB	Hoffman, B.	Hoffman	B.	HOFB	NA	2
HP	Hoffmann, Petra	Hoffmann	Petra	HP	NA	2
HRF	Hohenacker, Rudolph Friedrich	Hohenacker	Rudolph Friedrich	HRF	NA	2
HLR	Holdridge, Leslie Rensselaer	Holdridge	Leslie Rensselaer	HLR	NA	2
HBK	Holst, Bruce Kendall	Holst	Bruce Kendall	HBK	NA	2
HAM	Homolle, Anne-Marie	Homolle	Anne-Marie	HAM	NA	1
HAI	Honfi, A. I.	Honfi	A. I.	HAI	NA	2
CHW	Hong Wa, Cynthia	Hong-Wa	Cynthia	CHW	NA	NA
CHW	Hong-Wa, Cynthia	Hong-Wa	Cynthia	CHW	NA	1
HWS	Hoover, Walter Scott	Hoover	Walter Scott	HWS	NA	2
HHE	Hornby, Henry Epton	Hornby	Henry Epton	HHE	NA	2
HFN	HORTO FLORESTAL, *	HORTO FLORESTAL	NA	HFN	NA	2
HPR	House, Paul Raymond	House	Paul Raymond	HPR	NA	2
HFC	How, Foon-Chew	How	Foon-Chew	HFC	NA	1
HI	Huamantupa Chuquimaco, Isau	Huamantupa Chuquimaco	Isau	HI	NA	2
HUAN	HUANG, *	HUANG	NA	HUAN	NA	2
HUBO	Huber, Otto	Huber	Otto	HUBO	NA	2
HMJ	Huft, Michael John	Huft	Michael John	HMJ	NA	2
HJH	Humbert, Jean-Henri	Humbert	Jean-Henri	HJH	NA	1
HL	Humblot, Léon	Humblot	Léon	HL	NA	2
HURF	Hurtado, Fernando	Hurtado	Fernando	HURF	NA	2
HJS	Huston, Jon S.	Huston	Jon S.	HJS	NA	2
IB	Iambana, Bernard	Iambana	Bernard	IB	NA	NA
IA	Ibáñez García, Alicia	Ibáñez García	Alicia	IA	NA	2
IG	Ibarra Manríquez, Guillermo	Ibarra Manríquez	Guillermo	IG	NA	2
IDAA	Idárraga-Piedrahita, Álvaro	Idárraga-Piedrahita	Álvaro	IDAA	NA	2
ID	Ikabanga, Davy	Ikabanga	Davy	ID	NA	2
IS	Iremonger, Susan	Iremonger	Susan	IS	NA	2
IHS	Irwin, Howard Samuel	Irwin	Howard Samuel	IHS	NA	2
ITAB	Itaipú Binacional	Itaipú Binacional	NA	ITAB	NA	2
JH	Jacquemin, H.	Jacquemin	H.	JH	NA	2
JMJ	Jansen-Jacobs, Marion Josephine	Jansen-Jacobs	Marion Josephine	JMJ	NA	2
JD	Jansen, David	Jansen	David	JD	NA	2
JDH	Janzen, Daniel Hunt	Janzen	Daniel Hunt	JDH	NA	2
JN	Jaramillo, Nestor	Jaramillo	Nestor	JN	NA	2
JARA	Jardim, Antony	Jardim	Antony	JARA	NA	2
JARJ	Jardim, J.	Jardim	J.	JARJ	NA	2
JJG	Jardim, Jomar Gomes	Jardim	Jomar Gomes	JJG	NA	2
JBT	Jardin Botanique Tananarive	Jardin Botanique Tananarive	Jardin Botanique Tananarive	JBT	NA	1
JB	Jestrow, Brett	Jestrow	Brett	JB	NA	4
JJQ	Jiménez Madrigal, José Quírico del Rosario	Jiménez Madrigal	José Quírico del Rosario	JJQ	NA	2
JCD	Johnson, Clarence Dan	Johnson	Clarence Dan	JCD	NA	2
JIM	Johnston, Ivan Murray	Johnston	Ivan Murray	JIM	NA	2
JCL	Jones, Casey L.	Jones	Casey L.	JCL	NA	2
JRL	Jones, Ronald Lee	Jones	Ronald Lee	JRL	NA	2
CCHJ	Jongkind, Carel Christiaan Hugo	Jongkind	Carel Christiaan Hugo	CCHJ	NA	NA
JG	Jönsson, Gösta	Jönsson	Gösta	JG	NA	2
JPP	Jörgensen, Peter (Pedro)	Jörgensen	Peter (Pedro)	JPP	NA	2
JTA	Josso Tianarifidy, Angelos Stanislas	Josso Tianarifidy	Angelos Stanislas	JTA	NA	NA
JAT	Josso, Angelos Tianarifidy Stanislas	Josso	Angelos Tianarifidy Stanislas	JAT	NA	1
JOUV	JOUVIN, *	JOUVIN	NA	JOUV	NA	2
JGG	Juárez García, Gonzalo	Juárez García	Gonzalo	JGG	NA	2
K	Kappler, August	Kappler	August	K	NA	2
KAD	Karatra, Aimé Dochard	Karatra	Aimé Dochard	KAD	NA	NA
KAD	Karatra, Aimée Dochard	Karatra	Aimé Dochard	KAD	NA	NA
KWA	Kaudern, Walter Alexander	Kaudern	Walter Alexander	KWA	NA	1
KML	Kawasaki, Maria Lucia	Kawasaki	Maria Lucia	KML	NA	2
KR	Kayap, Rubio	Kayap	Rubio	KR	NA	2
KCJ	Kayombo, Canisius J.	Kayombo	Canisius J.	KCJ	NA	2
KH	Kennedy, Helen	Kennedy	Helen	KH	NA	2
MK	Keraudren, Monique	Keraudren	Monique	MK	NA	1
KC	Kernan, Christopher	Kernan	Christopher	KC	NA	2
KHAR	Khan, Ronaq	Khan	Ronaq	KHAR	NA	2
PK	Khant, Po	Khant	Po	PK	NA	4
KOA	Kibure, O. A.	Kibure	O. A.	KOA	NA	2
KCT	Kidua, Charles T.	Kidua	Charles T.	KCT	NA	2
KTJ	Killeen, Timothy J.	Killeen	Timothy J.	KTJ	NA	2
KWJ	Kindeketa, William J.	Kindeketa	William J.	KWJ	NA	2
KW	Kings, W.	Kings	W.	KW	NA	2
KJ	Kirkbride, Jr., Joseph Harold	Kirkbride	Jr.	KJ	NA	2
KT	Klaine, Theophile Joseph	Klaine	Theophile Joseph	KT	NA	2
KJL	Klein, Jan Lukas	Klein	Jan Lukas	KJL	NA	2
KBB	Klitgaard, Bente Bang	Klitgaard	Bente Bang	KBB	NA	2
KG	Klug, Guillermo	Klug	Guillermo	KG	NA	2
KNAC	Knab-Vispo, Claudia	Knab-Vispo	Claudia	KNAC	NA	2
KSD	Knapp, Sandra Diane	Knapp	Sandra Diane	KSD	NA	2
KN	KOCZICKI, *	KOCZICKI	NA	KN	NA	2
BK	Koechlin, Bernard	Koechlin	Bernard	BK	NA	1
KK	Koïvogui, Kolou	Koïvogui	Kolou	KK	NA	2
KA	Kotozafy, Alphonse	Kotozafy	Alphonse	KA	NA	NA
KCK	Kotschy, Carl (Karl) Georg Theodor	Kotschy	Carl (Karl) Georg Theodor	KCK	NA	2
KRD	Kral, Robert D.	Kral	Robert D.	KRD	NA	2
KAC	Krapovickas, Antonio Christopher	Krapovickas	Antonio Christopher	KAC	NA	2
KCF	Krauss, Christian Ferdinand Friedrich von	Krauss	Christian Ferdinand Friedrich von	KCF	NA	2
CK	Kremen, Claire	Kremen	Claire	CK	NA	1
KHR	Kriebel Haehner, Ricardo	Kriebel Haehner	Ricardo	KHR	NA	2
KBA	Krukoff, Boris Alexander	Krukoff	Boris Alexander	KBA	NA	2
KP	Kuchar, Peter	Kuchar	Peter	KP	NA	2
KUHL	KUHLMANN, *	KUHLMANN	NA	KUHL	NA	2
KJG	Kuhlmann, João Geraldo	Kuhlmann	João Geraldo	KJG	NA	2
KM	Kuhlmann, Moysés	Kuhlmann	Moysés	KM	NA	2
KUHN	Kuhn, *	Kuhn	NA	KUHN	NA	2
KUMR	Kummrow, R.	Kummrow	R.	KUMR	NA	2
KYS	Kuniyoshi, Y. Saito	Kuniyoshi	Y. Saito	KYS	NA	2
KKC	Kuntze, Carl (Karl) Ernst (Eduard) Otto	Kuntze	Carl (Karl) Ernst (Eduard) Otto	KKC	NA	2
LIF	la Croix, Isobyl Florence	la Croix	Isobyl Florence	LIF	NA	2
JNL	Labat, Jean-Noël	Labat	Jean-Noël	JNL	NA	NA
LJH	Lace, John Henry	Lace	John Henry	LJH	NA	1
LO	Lachenaud, Olivier	Lachenaud	Olivier	LO	NA	2
LU	Lachner, Ute	Lachner	Ute	LU	NA	2
LAGA	Laguna, Angela	Laguna	Angela	LAGA	NA	2
LR	Laha, Rolland	Laha	Rolland	LR	NA	NA
LAIVAO	Laivao, Michel Omer	Laivao	Michel Omer	LAIVAO	NA	NA
LGS	Laizer, Gabriel Simon	Laizer	Gabriel Simon	LGS	NA	2
LHJ	Lam, Herman Johannes	Lam	Herman Johannes	LHJ	NA	2
LLR	Landrum, Leslie Roger	Landrum	Leslie Roger	LLR	NA	2
LF	Lantoarisoa, Faranirina	Lantoarisoa	Faranirina	LF	NA	2
KL	Larsen, Kai	Larsen	Kai	KL	NA	1
LRL	Lazor, Robert L.	Lazor	Robert L.	LRL	NA	2
LGM	Le Testu, Georges Marie Patrice Charles	Le Testu	Georges Marie Patrice Charles	LGM	NA	2
LJD	Leandri, Jacques Désiré	Leandri	Jacques Désiré	LJD	NA	1
LAJ	Leeuwenberg, Anthonius Josephus Maria	Leeuwenberg	Anthonius Josephus Maria	LAJ	NA	1
ALH	Lehavana, Adolphe	Lehavana	Adolphe	ALH	NA	NA
LEJJ	Lejoly, Jean	Lejoly	Jean	LEJJ	NA	2
LGN	Leliyo, Godson N.	Leliyo	Godson N.	LGN	NA	2
LRW	Lent, Roy William	Lent	Roy William	LRW	NA	2
LDL	Lentz, David L.	Lentz	David L.	LDL	NA	2
LHA	León, Henry A.	León	Henry A.	LHA	NA	2
LEC	Leonard, *	Leonard	NA	LEC	NA	2
LEC	Leonard, Emery Clarence	Leonard	Emery Clarence	LEC	NA	2
LPB	Leopold, Jean Berthieu	Leopold	Jean Berthieu	LPB	NA	NA
JBL	Léopold, Jean Berthieu	Léopold	Jean Berthieu	JBL	NA	NA
LEA	Lépiz Villalobos, Eduardo Antonio	Lépiz Villalobos	Eduardo Antonio	LEA	NA	2
LERJ	Leroy, Jean-François	Leroy	Jean-François	LERJ	NA	2
LRK	Letsara, Rockiman	Letsara	Rokiman	LRK	NA	NA
LRK	Letsara, Rokiman	Letsara	Rokiman	LRK	NA	1
LEWJ	Lewalle, José	Lewalle	José	LEWJ	NA	2
BL	Lewis, Beverley	Lewis	Beverley	BL	NA	NA
LBA	Lewis, Beverley Ann	Lewis	Beverley Ann	LBA	NA	2
LGP	Lewis, Gwilym Peter	Lewis	Gwilym Peter	LGP	NA	1
LAM	Lewis, Marko Alexander	Lewis	Marko Alexander	LAM	NA	2
LWH	Lewis, Walter Hepworth	Lewis	Walter Hepworth	LWH	NA	2
LDI	Lezama, Diana I.	Lezama	Diana I.	LDI	NA	2
LH	Li, Heng	Li	Heng	LH	NA	2
LIRL	Liesner, Ronald Lee	Liesner	Ronald Lee	LIRL	NA	2
LHC	Lima, *	Lima	NA	LHC	NA	2
LHC	Lima, Haroldo Cavalcante de	Lima	Haroldo Cavalcante de	LHC	NA	2
LJL	Linares, José Ledis	Linares	José Ledis	LJL	NA	2
LII	Linneo Foronda, Ivan I.	Linneo Foronda	Ivan I.	LII	NA	2
LAH	Liogier, Alain Henri	Liogier	Alain Henri	LAH	NA	2
LEM	Lira C., Erika M.	Lira C.	Erika M.	LEM	NA	2
LISS	Lisowski, Stanisław	Lisowski	Stanisław	LISS	NA	2
LEL	Little, Elbert Luther	Little	Elbert Luther	LEL	NA	2
LE	Lleras, Eduardo	Lleras	Eduardo	LE	NA	2
LPK	Lôc, Phan Kê	Lôc	Phan Kê	LPK	NA	2
LLG	Lohmann, Lúcia Garcez	Lohmann	Lúcia Garcez	LLG	NA	2
LOPE	Lopes, *	Lopes	NA	LOPE	NA	2
LCA	López Cruz, Angelita	López Cruz	Angelita	LCA	NA	2
LOP	Lopez, Axel	Lopez	Axel	LOP	NA	4
LOHA	Lot Helguera, Antonio	Lot Helguera	Antonio	LOHA	NA	2
LM	Louvel, Modeste	Louvel	Modeste (François Clément)	LM	NA	1
LM	Louvel, Modeste (François Clément)	Louvel	Modeste (François Clément)	LM	NA	1
LJC	Lovett, Jonathan Crainidge	Lovett	Jonathan Crainidge	LJC	NA	2
PPL	Lowry, Pete	Lowry	Porter Prescott II	PPL	NA	NA
PPL	Lowry, Porter Prescott	Lowry	Porter Prescott II	PPL	NA	NA
PPL	Lowry, Porter Prescott II	Lowry	Porter Prescott II	PPL	NA	NA
PPL	Lowry, Porter Prescott,  II	Lowry	Porter Prescott II	PPL	NA	1
LMA	Luckow, Melissa Ann	Luckow	Melissa Ann	LMA	NA	1
LRZ	Ludovic, Reza	Ludovic	Reza	LRZ	NA	NA
LL	Lugas, L.	Lugas	L.	LL	NA	4
LSH	Lugo Sánchez, Hólguer	Lugo Sánchez	Hólguer	LSH	NA	2
IL	Luino, Iacopo	Luino	Iacopo	IL	NA	NA
LPA	Luke, Patricia A.	Luke	Patricia A.	LPA	NA	2
LWR	Luke, William Richard Quentin	Luke	William Richard Quentin	LWR	NA	2
LCL	Lundell, Cyrus Longworth	Lundell	Cyrus Longworth	LCL	NA	2
LB	Luschnath, Bernhard	Luschnath	Bernhard	LB	NA	2
MBR	M'Boungou, R.	M'Boungou	R.	MBR	NA	2
MPP	Maas, Paulus (Paul) Johannes Maria	Maas	Paulus (Paul) Johannes Maria	MPP	NA	2
MAAG	Maass, Gustavo	Maass	Gustavo	MAAG	NA	2
MJM	MacDougal, John Mochrie	MacDougal	John Mochrie	MJM	NA	2
MA	Macedo, Amaro	Macedo	Amaro	MA	NA	2
MMJ	Macía, Manuel J.	Macía	Manuel J.	MMJ	NA	2
MQD	MacQueen, Duncan J.	MacQueen	Duncan J.	MQD	NA	1
MMR	Madiomanana, Mintina Roberta Cathy	Madiomanana	Mintina Roberta Cathy	MMR	NA	2
ME	Madrid N., Estela	Madrid N.	Estela	ME	NA	2
MMA	Magaña A., M. A.	Magaña A.	M. A.	MMA	NA	2
MFC	Magogo, Frank Charles	Magogo	Frank Charles	MFC	NA	2
MAGB	Maguire, Bassett	Maguire	Bassett	MAGB	NA	2
MAHR	Mahroji, Roji	Mahroji	Roji	MAHR	NA	2
MAIA	MAIA, *	MAIA	NA	MAIA	NA	2
SM	Malcomber, Simon	Malcomber	Simon T.	SM	NA	NA
MST	Malcomber, Simon T.	Malcomber	Simon T.	MST	NA	1
MCB	Maldonado Goyzueta, Carla Brenda	Maldonado Goyzueta	Carla Brenda	MCB	NA	2
MF	Mamani M., Fabiana	Mamani M.	Fabiana	MF	NA	2
