latitude,longitude
-13.67,47.98
-13.75,48.09
-14.32,48.2
-14.15,48.09
-13.13,49.69
-12.26,49.37
-12.96,49.7
-12.24,49.36
-13.16,49.69
-12.26,49.36
-12.63,49.4
-12.25,49.36
-13.18,49.55
-12.25,49.36
-12.32,49.34
-12.59,49.45
-12.56,49.43
-12.74,49.23
-12.27,49.36
-12.27,49.38
-12.69,49.53
-12.26,49.36
-12.26,49.36
