Name	DM_SP	Images	Group	ZT_Species	Alternative (old) names	Accepted	Acceptance Notes	Citation	Publication status	Recognised by  B/R = Bosser & Rabe. C/W/P = Crameri/Wilding/Phillipson	Ist Author	MadCat treatment	Growth form	Manuscript	Manuscript status	TYPE	Description revised and updated	Desiderata	General sites for desiderata	MBG site for desiderata	No. of specimens MadCat	Max height (m)	Height Ref.	Max DBH (cm)	DBH Ref.	Description	Key Specimens	Taxonomy Stable	Appeared Red List	Year of Last Conservation Assessment	Last Conservation Assessment	Criteria	Preliminary Assessment (publ. or in prep.)	Status of preliminary assessments	Criteria for assessment	Priority for assessment	Assessor	Input into SIS	Previous assessments on IUCN RL site	Link to IUCN	Madagascar det slip print number
D. bemarivensis X greveana	DM_SP13	Links	Greveana	bemarivensisXgreveana	aff._bemarivensis	Hybrid	D. bemarivensis x greveana (F1 hybrids)?	putative hybrid D. bemarivensis Phillipson & N. Wilding x greveana Baill. (S. Crameri, pers. comm.)	-	C/W/P	NW		LT	Hybridization paper				Flowers & Fruits	Ankarafantsika			18	RIR2471	30	RIR2471	Only sterile material known, shows affinity to both D. greveana (leaflet shape) and D. mollis (pubescence)		Yes													
**D. marojejyensis	DM_SP14	Links	Maritima	marojejyensis	aff. occulta	Yes		D. marojejyensis ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		LT	Maritima paper		PBP6649	NA	Flowers & Fruits		Makirovana (NW)	16	30	BEN0008	50	BEN0008	Reminds of D. louvelii in leaflet size and pubescence, but with less coriaceous and differently shaped leaflets, and from NE Madagascar	RBE 1611, CB1766	Yes	No				Done April fast [EN]	MARITIMA PAPER	Crit. B						
aff. rakotovaoi Namaroka	DM_SP15	Links	Arenosa	scorpioides	aff._rakotovaoi_Antsiafabositra	No	D. rakotovaoi	-	-	C/W/P	PBP		ST					PBP to complete				12	SAF0307	12	SAF0307		SAF 304 	No	No												
D. antsirananae	DM_SP16	Links	Baronii	antsirananae		Yes		D. antsirananae Phillipson, Crameri & N. Wilding	published	C/W/P	PBP		LT	Wilding et al. 2021a		Du Puy M761	NA					20	KAD0552	50	RIR3506	Similar to D. viguieri and D. madagascariensis but from Mt de Francais and Mt d'Ambre (the part surrounding Lac Mahery in the NE)		Yes	under review	2021	Endangered	EN B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)		Done	Crit. B		PBP	Done			
D. aff. monticola Maroantsetra	DM_SP17	Links	Monticola	aff._monticola_Maroantsetra		?	population from Maroantsetra that co-occurs with typical D. maritima without apparent mixing	D. aff. monticola Bosser & R. Rabev. (co-occurring genetic cluster, S. Crameri, pers. comm.)	-	C/W/P	NW		ST					Flowers & Fruits				15	SH0410	15.9	SH0455	Similar and sympatric with D. monticola in Makira, but genetically distinct															
D. aff. chapelieri coriaceous	DM_SP18	Links	Chapelieri	aff._chapelieri_coriaceous		?	include in DM_SP40?	D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	-	C/W/P	PBP		ST									12, 14	RZK7755, SAN0007	14, 15	RZK7755, RZK7740	related to D. pseudomaritima and D. chapelieri, with very coriaceous leaflets which have a distinct lighter lower surface and darker upper surface; venation on upper surface very pronounced	SFR0257	No	No												
D. louvelii subsp. ombrophila	DM_SP19	Links	Maritima	louvelii_ombrophila	louvelii_louvelii, aff._louvelii_Mananara	Subsp.	D. louvelii subsp. ombrophila	D. louvelii subsp. ombrophila ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		LT	Maritima paper				Flowers	Mananara Nord		44	18	RBE2541	>60, 20	Raharimalala 2345, RBE2541	related to D. louvelii but with less coriaceous leaflets with less revolute margins		Yes	No					Data ready							
D. aff. normandii Makirovana	DM_SP20	Links	Maritima	aff._normandii_Makirovana		No	D. normandii	D. normandii Bosser & R. Rabev.	-	C/W/P	SC		LT									16	RNH1230	25	RNH1230	genetic structure indicates distinction from D. normandii															
D. aff. pervillei Maevatanana	DM_SP21	Links	Pervillei	pervillei	aff._pervillei_Maevatanana	No	D. pervillei	D. pervillei Vatke	NA	C/W/P	-		unknown									unknown	-	unknown	-	9-16 larger and broader leaflets, often with retuse apex, sometimes very pubescent or glabrous (glabrescent)															
D. aff. pervillei Maevatanana	DM_SP22	Links	Pervillei	pervillei	aff._pervillei_Maevatanana	No	D. pervillei	D. pervillei Vatke	NA	C/W/P	-		unknown									unknown	-	unknown	-	15-23 smaller leaflets, appear variable in shape, often with acuminate apex, pubescent															
D. densicoma	DM_SP23	Links	Pervillei	densicoma		Yes	resurrected from synonymy with D. pervillei	D. densicoma Baill.	published	C/W/P			LT			Pervillé s.n.	Needed					23	RIR3484	41	RIR3484	Leaflets (17)21-25(27), oblong and narrow, with a rounded apex (vs. fewer and broader leaflets, with often retuse apex in D. pervillei)	RIR 3209	Yes	No					To be assessed in June 2022	Crit. A						
**D. hassoldiae	DM_SP24	Links	Maritima	hassoldiae	aff. pubescens Masoala	Yes		D. hassoldiae ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		LT	Maritima paper		?	NA	Flowers & Fruits	Pointe à Larrée, Tampolo Masoala, Ambohitralana	Pointe à Larrée (SC)	57	19	SH0099	30	JA0720	Leaflets (17)21-25(29), oblong	SF 30069	Yes	No					MARITIMA PAPER	Crit. A						
**D. rabevohitrae	DM_SP25	Links	Arenosa	purpurascensXrakotovaoi	rabevohitrae, aff. purpurascens Soahany	Hybrid	D. purpurascens x rakotovaoi (F1 hybrids)?	putative hybrid D. purpurascens x D. rakotovaoi ined. (S. Crameri, pers. comm.)	-	C/W/P	PBP		LT	Hybridization paper			NA	PBP to complete				10	SF6882	unknown	Leandri 2249	Similar to D. purpurascens but with subacute and non-papery leaves, genetically distinct	Leandri 2249	Yes					DD	LT PAPER	Crit. B						
D. aff. greveana Mahajanga	DM_SP26	Links	Greveana	aff._greveana_Mahajanga		No		-	-	C/W/P			ST								1	10	Andriamihajarivo 789	unknown	Andriamihajarivo 789	distinct from D. greveana, D. neoperrier and D. decaryi; Narrowly ovate-acuminate to lanceolate leaflets, close to D. greveana	Andriamihajarivo 789														
**D. bernardii	DM_SP27	Links	Maritima	bernardii	aff. maritima NE	Yes		D. bernardii ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		LT	Maritima paper		RNH1220					10	15	RD4987	35	RD4987	glabrous foliage but only (6)7-9(11) leaflets, often with retuse apex	SF 27751, RNH1219	Yes	No				Yes	Data ready							
**D. karatrae	DM_SP28	Links	Pervillei	karatrae	aff. pervillei Ambilobe	Yes		D. karatrae ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT paper	llustration in prep	Guittou 155	NA	Fruits 			6	14	Karatra 17	40	Guittou 155	numerous leaflets but different in leaflet shape and inflorescence compared to D. glaucocarpa	Guittou 155, Hassold 698	Yes					Done April fast [EN]	LT PAPER	Crit. B						
D. aff. greveana Ihotry	DM_SP29	Links	Greveana	aff._greveana_Ihotry		No	D. greveana	D. greveana Baill.	-	C/W/P	NW		ST								1	15	Phillipson 3053	unknown	Phillipson 3053	Lac Ihotry, large widely branched inflorescence with small flowers	Phillipson 3053														
D. aff. maritima Masoala	DM_SP30	Links	Maritima	aff._maritima_Masoala		No	D. occulta	D. occulta Bosser & R. Rabev.	-	C/W/P	SC		ST									3	Antilahimena 1701	unknown	Antilahimena 1701	looks intermediate between D. aff. maritima NE (DM_SP27) and D. occulta	Antilahimena 1701														
D. aff. chapelieri Manombo	DM_SP31	Links	Chapelieri	aff._chapelieri_Manombo		Yes		D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	in prep.	C/W/P	PBP		LT	Chapelieri paper		?	NA	PBP to complete		Mahabo (PBP)		18, 15	RAV0079, RAV0056	35	RNH1173	Similar to D. aff. chapelieri coriaceous (DM_SP18) but with less prominent venation on upper surface of leaflets and from lower elevations	Emeline 1	No	No					CHAPELIERI PAPER	?						
D. ambongoensis	DM_SP32	Links	Greveana	ambongoensis		Yes	resurrected from synonymy with D. greveana	D. ambongoensis Baill.	published	C/W/P		PBP 2/11/2021	LT			Pervillé 678	Needed					18	RIR2468	26.5	ROZ0001	Regularly shaped leaflets, ovate to elliptical, acuminate apex, small fruits (vs. D. greveana)		Yes	No				Done April fast [EN]	To be assessed in May 2022	Crit. B						
D. aff. neoperrieri Amboloando	DM_SP33	Links	incertae_sedis	scorpioides	aff._neoperrieri_Amboloando	No	D. scorpioides	D. scorpioides Baker	-	C/W/P	PBP		ST									10	CR7433	18.3	RIR3341	D. cf. neoperrieri according to Bosser, but has two-seeded fruits and a much larger pericarp around the seeds. DNA indicates affinity to both Gr. Greveana and Gr. Peltieri. Could be related to DM_SP15.	SF 16310, CR7433, Peltier 5238, RIR3341														
D. aff. greveana Ankarafantsika	DM_SP34	Links	Greveana	ambongoensis	aff._greveana_Ankarafantsika	No	D. ambongoensis	D. ambongoensis Baill.	-	C/W/P	NW		LT					Fruit	Ankarafantsika			18	RIR2468	26.5	ROZ0001	Leaflets with a remarkably strong venation on upper surface, larger and more variable in shape than the remaining material formally recognized as D.greveana	RIR 2468	Yes	No				Yes	Data ready							
D. eurybothrya	DM_SP35	Links	Greveana	greveana		No	D. greveana	D. greveana Baill.	-	C/W/P	NW		unknown			Grevé 40						unknown	Grevé 40	unknown	Grevé 40	Similar to D. aff. greveana Ankarafantsika but with a larger, open inflorescence	SF 15349, Grevé 40, Morat 3649														
**D. sambavensis	DM_SP36	Links	Monticola	sambavensis	aff. monticola Makirovana	Yes		D. sambavensis ined. (N. Wilding, pers. comm.)	in prep.	C/W/P	NW		LT	LT Paper		RZC0206	NA					15	RZK8240	35	RZK8240	Low elevation monticola		No						LT PAPER	Crit. B						
**D. randrianaivoi	DM_SP37	Links	Monticola	monticola	randrianaivoi, aff._monticola_NW	No	D. monticola	D. monticola Bosser & R. Rabev.	-	C/W/P			LT				NA	NA				25	SF (Capuron) 20036	70	SF (Capuron) 20036	Populations with many leaflets from the NW - Manja, Manongarivo		No						LT PAPER	Crit. A						
D. aff. chapelieri NE	DM_SP38	Links	Chapelieri	aff._chapelieri_NE		Yes		D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	in prep.	C/W/P	PBP		LT	Chapelieri paper		?	NA	PBP to complete	Pointe à Larrée			20	AR0050	70	SH0002	Small to medium sized, dark oblong, obovate leaflets from near Masoala	Aridy 730	No	No					CHAPELIERI PAPER	?						
D. aff. chapelieri coriaceous large	DM_SP39	Links	Chapelieri	chapelieri	aff._chapelieri_coriaceous_large	No	D. chapelieri	D. chapelieri Baill. sensu stricto	-	C/W/P	PBP		LT									13	RBE2276	35	ANS0054	Largest most coriaceous leaves in the chapelieri group; possibly with large fruits	SF 23628	No	No												
D. aff. chapelieri S	DM_SP40	Links	Chapelieri	aff._chapelieri_S		Yes	D. pterocarpiflora ?	D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	in prep.	C/W/P	PBP		LT	Chapelieri paper		Baron 'next' 5860 ?	NA	PBP to complete				25	ALR2408	30	NZM0022	Collections from drier regions of the SE, also at higher elevations above 1000 m, apparently more strictly deciduous compared to D. chapelieri sensu strico (fide Viguier)	RZK 8026, RZK 8031	No	No					CHAPELIERI PAPER	?						
D. aff. viguieri Ambilobe	DM_SP41	Links	Baronii	viguieri	aff._viguieri_Ambilobe	No	D. viguieri	D. viguieri Bosser & R. Rabev.	-	C/W/P	PBP		ST									8	RIR3294	11	RIR3294	Differs from D. viguieri by its pubescent lower leaf surface															
D. aff. glaberrima Anjiamangirana	DM_SP42	Links	Pervillei	pervillei	aff._glaberrima_Anjiamangirana	No	D. pervillei	D. pervillei Vatke	-	C/W/P	-		unknown									unknown	-	unknown	-	Similar to DM_SP10 but with many more leaflets 15 vs. 7-9. Material sterile.															
D. glaberrima subsp. ankaranensis	DM_SP43	Links	Tricolor	glaberrima_ankaranensis		Subsp.	D. glaberrima subsp. ankaranensis	D. glaberrima subsp. ankaranensis Bosser & R. Rabev.	published	C/W/P			ST			Humbert 32807						8	Bardot-Vaucoulon 1318	20, 3	Léopold 48, RIR3226	Fine rachis, few small sub-circular leaflets.	Nusbaumer 1544, Nusbaumer 1515														
**D. rasoavolatinae	DM_SP44	Links	Chapelieri	rasoavolatinae	aff. chapelieri Vohemar	Yes		D. rasoavolatinae ined. (P. B. Phillipson, pers. comm.)	in prep.	C/W/P	PBP		LT	Chapelieri paper		?						16	RIR3797	40	RIR3787	Thinnish, oblong to obovate leaflets, often with emariginate apex, drying a reddish brown colour	"
"							CHAPELIERI PAPER							
D. monticola X orientalis	DM_SP45	Links	Monticola	monticolaXorientalis		Hybrid	D. monticola x orientalis (F1 hybrids)!	putative hybrid D. monticola Bosser & R. Rabev. x orientalis Bosser & R. Rabev. (S. Crameri, pers. comm.)	-	C/W/P	NW		LT	Hybridization paper								25	KAD0116	21	KAD0123	Large, oblong, thinly coriaceous leaflets (19 - 23), fruits and flowers unknown. Known from around Manara North and Zahamena.	RBE2284, SF 262-3, SF 22-R-210														
D. greveana X scorpioides	DM_SP46	Links	Greveana	greveanaXscorpioides	aff._greveana_Ankarafantsika2	Hybrid	D. greveana x scorpioides (F1 hybrids)?	putative hybrid D. greveana Baill. x scorpioides Baker (S. Crameri, pers. comm.)	-	C/W/P	NW		LT	Hybridization paper				Flowers & Fruits			4	7	RAV0038	16	RAV0038	similar to D. greveana but with up to 13 leaflets, large fruits with up to 2 seeds	RAV0038	Yes													
