Name	DM_SP	Images	Group	ZT_Species	Alternative (old) names	Accepted	Acceptance Notes	Citation	Publication status	Recognised by  B/R = Bosser & Rabe. C/W/P = Crameri/Wilding/Phillipson	Ist Author	MadCat treatment	Growth form	Manuscript	Manuscript status	TYPE	Description revised and updated	Desiderata	General sites for desiderata	MBG site for desiderata	No. of specimens MadCat	Max height (m)	Height Ref.	Max DBH (cm)	DBH Ref.	Description	Key Specimens	Taxonomy Stable	Appeared Red List	Year of Last Conservation Assessment	Last Conservation Assessment	Criteria	Preliminary Assessment (publ. or in prep.)	Status of preliminary assessments	Criteria for assessment	Priority for assessment	Assessor	Input into SIS	Previous assessments on IUCN RL site	Link to IUCN	Madagascar det slip print number
D. aff. louvelii Vatovavy	DM_SP68	Links	Maritima	louvelii_glabra	aff._louvelii_Vatovavy	No	DM_SP70	D. louvelii R. Vig. subsp. glabra ined. (S. Crameri, pers. comm.)	-	C/W/P	SC		LT									15	RIR3603	50	RIR3592	Leaves with 7-9 medium-sized leaflets, apex obtuse, base rounded	ANS0064														
D. aff. chapelieri Mahabo	DM_SP69	Links	Chapelieri	aff._chapelieri_S	aff._chapelieri_Mahabo	No	DM_SP40	D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	-	C/W/P	PBP		ST									12	EME0010	8	EME0010		EME0010, RZK2112														
D. louvelii subsp. glabrescens	DM_SP70	Links	Maritima	louvelii_glabrescens	louvelii_glabra, louvelii_mananjary	Subsp.	D. louvelii subsp. glabrescens	D. louvelii subsp. glabrescens ined. (S. Crameri, pers. comm.)	in prep.	C/W/P	SC		LT	Maritima paper		SF7036	NA					15	RIR3603	50	RIR3592		Geay 7227, RZK0374														
D. aff. chapelieri N	DM_SP71	Links	Chapelieri	aff._chapelieri_N		No	DM_SP38	D. chapelieri Baill. sensu lato (species complex currently being investigated, P. B. Phillipson, pers. comm.)	-	C/W/P	PBP		ST									15	LG3448	12	SAF0080		Gautier 3488														
D. aff. neoperrieri Bemaraha	DM_SP72	Links	Greveana	aff._neoperrieri_Bemaraha		?		-	-	C/W/P	NW		ST									12	Jongkind 3522	unknown	Jongkind 3522		Jongkind 3522														
D. aff. maritima Daraina	DM_SP73	Links	Maritima	aff._maritima_Daraina		?	similar to D. bernardii	-	-	C/W/P	SC		ST	Maritima paper								6	NZM0242	15	NZM0238	Similar to D. bernardii (DM_SP27), but leaflets with obtuse (vs. retuse) apex, from Daraina (vs. Eeastern Masoala).	NZM238														
D. aff. tsiandalana Mariarano	DM_SP74	Links	Pervillei	aff._tsiandalana_Mariarano		?		-	-	C/W/P			ST									13	SAF0430	12	SAF0436		RZK9033														
D. aff. obcordata Analamerana	DM_SP75	Links	Tricolor	aff._obcordata_Analamerana		Yes		?	in prep.	C/W/P			unknown			Letsara 199						unknown	Letsara 199	unknown	Letsara 199	Few large leaflets, almost broader than long, strongly retuse apex.	Letsara 199														
D. aff. davidii Mariarano	DM_SP76	Links	Chlorocarpa	aff._davidii_Mariarano		?	similar to D. davidii	-	-	C/W/P			ST									10	SAF0457	11	SAF0457																
D. aff. davidii Ihosy	DM_SP77	Links	Chlorocarpa	aff._davidii_Ihosy		?	similar to D. davidii	-	-	C/W/P			unknown								1	unknown	SF66-R-47	unknown	SF66-R-47	superficially similar to D. davidii from Group Chlorocarpa, but from around Ihosy.	"SF66-R-47

 


"														
D. andapensis 			Baronii	andapensis		Yes		D. andapensis Bosser & R. Rabev.	published	B/R			ST									10	RD2316	20	MR1163			Yes					Yes	Data ready					2012 EN B1ab(iii)+2ab(iii)	https://www.iucnredlist.org/species/38156/20054387	
D. aurea 			Tricolor	aurea		Yes		D. aurea Bosser & R. Rabev.	published	B/R			ST									petit arbre	SF (Capuron) 3068	unknown	SF (Capuron) 3068			Yes	Yes	2021	Critically Endangered	B1ab(iii,v)+2ab(iii,v)	NA	NA				Done	2021 CR B1ab(iii,v)+2ab(iii,v)	https://www.iucnredlist.org/species/38160/63949920	
D. bojeri 			Baronii	bojeri		Yes	The D. bojeri type is conspecific with the D. masoalensis type. Furthermore, DNA evidence suggests that D. bojeri is of hybrid origin, presumably involving D. madagascariensis and D. bathiei as parent species.	D. bojeri Drake	published	B/R			ST									3	RIR0694	unknown	RIR0694			Yes					Yes	Data ready					1998 EN B1+2abcde	https://www.iucnredlist.org/species/38167/10103718	
D. bracteolata 			Bracteolata	bracteolata		Yes		D. bracteolata Baker	published	B/R			LI									20m long	Du Puy M246	15	Du Puy M246			Yes					Yes	Data ready							50
D. abrahamii			Chlorocarpa	abrahamii		Yes		D. abrahamii Bosser & R. Rabev.	published	B/R		SAF 7/30/2020	LT				Needed				28	23	KAD0059	40, 44.6	KAD0059, Louvel 176			Yes	Yes	2019	Endangered	B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)		To be assessed in June 2022	Crit. B				2019 EN B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)	https://www.iucnredlist.org/species/36220/67416426	
D. baronii			Baronii	baronii		Yes		D. baronii Baker	published	B/R			LT				Needed				134	25	RBE2875	71.6	SH0011			Yes	Yes	1998	Vulnerable	A1cd+2cd		To be assessed in June 2022	Crit. A				1998 VU A1cd+2cd	https://www.iucnredlist.org/species/33955/9824813	200
D. bathiei			Baronii	bathiei		Yes		D. bathiei R. Vig.	published	B/R			LT			HPB14133	Needed				33	25	HPB14133	30	RAV0099				Yes	1998	Endangered	A1cd, B1+2abcd, C1+2a		To be assessed in June 2022	Crit. A				1998 EN A1cd, B1+2abcd, C1+2a.	https://www.iucnredlist.org/species/38163/10103467	50
D. bemarivensis			Bemarivensis	bemarivensis		Yes	nom. nov. for D. mollis Bosser & R. Rabev.	D. bemarivensis Phillipson & N. Wilding	published	C/W/P	NW		LT	Wilding et al. 2021b			Done				63	35	CR7430	102	RAV0005				under review	2021	Critically Endangered	A4c		Done	Crit. A		PBP	Done			
D. delphinensis			Baronii	delphinensis		Yes		D. delphinensis Bosser & R. Rabev.	published	B/R			ST								23	14	RFN0051	18.2	RFN0052			?	Yes	1998	Endangered	A2cd, B1+2bcde		Data ready					1998 EN A2cd, B1+2bcde	https://www.iucnredlist.org/species/38199/10101147	
D. brachystachya			Tricolor	capuronii	brachystachya	No	D. capuronii	D. capuronii Bosser & R. Rabev.	Bosser & Rabevohitra (1996, 2002)	B/R			LT			Herb. JBT 3049					4	unknown	Herb. JBT 3049	unknown	Herb. JBT 3049			Yes	Yes	1998	Endangered	B1+2abcde		Data ready					1998 EN B1+2abcde	https://www.iucnredlist.org/species/38168/10103774	
D. campenonii			incertae_sedis	emirnensis	campenonii	No	D. emirnensis	D. emirnensis Benth.	Bosser & Rabevohitra (1996, 2002)	B/R			LT			Campenon s.n.						unknown	Campenon s.n.	unknown	Campenon s.n.														1998 VU B1+2abcde	https://www.iucnredlist.org/species/38182/10098719	
D. capuronii 			Tricolor	capuronii		Yes		D. capuronii Bosser & R. Rabev.	published	B/R			LT				Needed					35	NMR0013	40	SF18371			Yes		1998	Endangered	B1+2abcde		To be assessed in June 2022	Crit. B				1998 B1+2abcde	https://www.iucnredlist.org/species/38185/10099104	
D. gautieri 			Peltieri	gautieri		Yes		D. gautieri Bosser & R. Rabev.	published	B/R			ST									6	Ranirison 697	unknown	Ranirison 697			Yes	Yes	2021	Endangered	B1ab(iii,v)+2ab(iii,v)	NA	NA					2021 EN B1ab(iii,v)+2ab(iii,v)	https://www.iucnredlist.org/species/68501350/68708648	
D. chapelieri			Chapelieri	chapelieri		Yes		D. chapelieri Baill. sensu stricto	published	B/R			LT				Needed					30	ALR2426	40	RIR2929			No	Yes	2012	Near Threatened			CHAPELIERI PAPER	?				2012 NT	https://www.iucnredlist.org/species/38189/20055040	
D. chlorocarpa			Chlorocarpa	chlorocarpa		Yes		D. chlorocarpa R. Vig.	published	B/R			LT				Needed				71	22	CR7421	40	RAV0007			Yes	under review	2021	Critically Endangered	A4c		Done	Crit. A		PBP	Done	2018 VU A4acd	https://www.iucnredlist.org/species/38193/69786145 	100
D. davidii			Chlorocarpa	davidii		Yes		D. davidii Bosser & R. Rabev.	published	B/R			LT				Needed				7	20	DuPuy M188	30, 31.8	DuPuy M188, SF10694			Yes	Yes	2019	Critically Endangered	B1ab(i,ii,iii,iv,v)		NA (Updated assessment not needed)	NA				2019 CR B1ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38196/68497394	
D. emirnensis			incertae_sedis	emirnensis		Yes		D. emirnensis Benth.	published	B/R			LT				Done				21	42	NMR0016	76	NMR0016			Yes	Yes	2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		Done					2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38201/67437459	
D. erubescens 			Tricolor	erubescens		Yes		D. erubescens Bosser & R. Rabev.	published	B/R			LT				Needed				12	22	RBE2787	28	RBE2787			Yes	Yes	2021	Endangered	B1ab(ii,iii,v)+2ab(ii,iii,v)		Done				Done	2021 EN B1ab(ii,iii,v)+2ab(ii,iii,v)	https://www.iucnredlist.org/species/38203/67439802	
D. glaberrima 			Tricolor	glaberrima_glaberrima		Yes		D. glaberrima Bosser & R. Rabev.	published	B/R			LT									12	Leandri 2322	unknown	Leandri 2322			Yes					Yes	Data ready	Crit. B				2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38208/124141512	
D. glaucocarpa			Baronii	glaucocarpa		Yes		D. glaucocarpa Bosser & R. Rabev.	published	B/R			LT				Needed				27	15	KAD0513	40	KAD0513			Yes	Yes	2019	Vulnerable	A4acd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. A				2019 VU A4acd; B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38214/67446555	
D. greveana			Greveana	greveana		Yes		D. greveana Baill.	published	B/R			LT				Needed					35	CR7432	89	RIR2884			No	Yes	2019	Vulnerable	A4acd		To be assessed in June 2022	Crit. A				2018 VU A4acd	https://www.iucnredlist.org/species/38224/67772947	
D. hildebrandtii 			Peltieri	hildebrandtii		Yes		D. hildebrandtii Vatke	published	B/R			LT									12	CR7380	30, 41.4	Rabarivola 37, Louvel 135b			No						To be assessed in June 2022	Crit. B				2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38231/69122133	
D. hirticalyx			Bemarivensis	hirticalyx		Yes		D. hirticalyx Bosser & R. Rabev.	published	B/R			LT				Needed				17	29	RBE2448	53	RBE2446			Yes	under review	2021	Endangered	B2ab(i,ii,iii,iv,v)		Done	Crit. B		PBP	Done	1998 EN B1+2bce	https://www.iucnredlist.org/species/38236/10107235	
D. humbertii			Humbertii	humbertii		Yes		D. humbertii R. Vig.	published	B/R			LT				Needed				29	30	KAD0411	70	KAD0411			Yes	Yes	2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. A				2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/36221/69785078	
D. lemurica			Chlorocarpa	lemurica		Yes		D. lemurica Bosser & R. Rabev.	published	B/R			LT				Needed				33	23	CR6676	70	SF15555			Yes	Yes	2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		To be assessed in May 2022	Crit. B			Done	2018 VU A4acd; B2ab(i,ii,iii,iv,v).	https://www.iucnredlist.org/species/38242/69122423	
D. louvelii			Maritima	louvelii_louvelii		Yes		D. louvelii R. Vig.	published	B/R			LT			Louvel 201	Needed					8	Louvel 201	25	Louvel 201			No	Yes	1998	Endangered	A1cd+2cd		To be assessed in June 2022	Crit. A				1998 EN A1cd+2cd	https://www.iucnredlist.org/species/38244/10107602	
D. masoalensis			Baronii	bojeri	masoalensis	No	D. bojeri	D. bojeri Drake	Bosser & Rabevohitra (1996, 2002)	B/R			LI/ST									1.5	RBE0314	unknown	RBE0314																
D. madagascariensis			Baronii	madagascariensis	madagascariensis_madagascariensis	Yes		D. madagascariensis Vatke	published	B/R			LT				Needed					25	RZK8731	32	SAF0090			No	Yes	2019	Vulnerable	A4acd			Crit. B				2019 VU A4acd	https://www.iucnredlist.org/species/38251/67786797	
D. manongarivensis			Baronii	manongarivensis		Yes		D. manongarivensis Bosser & R. Rabev.	published	B/R	PBP		LT	Wilding et al. 2021a		Totozafy Be 537	Done				36	22	RD1176	26.11	KAD0161			Yes	under review	2021	Endangered	A4ac		Done	Crit. A		PBP	Done			
D. maritima			Maritima	maritima_maritima		Yes		D. maritima R. Vig.	published	B/R	SC		LT	Crameri et al. 2022							27	7	CR7478	20	Louvel 200			Yes	Yes	1998	Endangered	A1cd+2cd		Done					1998 EN A1cd+2cd	https://www.iucnredlist.org/species/38255/10108121	
D. monticola			Monticola	monticola		Yes		D. monticola Bosser & R. Rabev.	published	B/R			LT				Needed					40	SH0618	100	SF8862			No	Yes	1998	Vulnerable	A1cd+2cd		To be assessed in June 2022	Crit. A				1998 Vulnerable under criteria A1cd+2cd	https://www.iucnredlist.org/species/38259/10108340	
D. neoperrieri			Greveana	neoperrieri		Yes		D. neoperrieri Bosser & R. Rabev.	published	B/R			LT				Needed					20	HPB1228	50	HPB1228			?	Yes	2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2019 Vulnerable under criteria A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38267/69122681	
D. normandii			Maritima	normandii		Yes		D. normandii Bosser & R. Rabev.	published	B/R			LT				Needed				128	20	JL0030	50, 59	SH0189, SH0214			Yes	Yes	1998	Endangered	A1cd+2cd, B1+2abcde		To be assessed in June 2022	Crit. A				1998 EN A1cd+2cd, B1+2abcde.	https://www.iucnredlist.org/species/38270/10108555	
D. peltieri 			Peltieri	peltieri		Yes		D. peltieri Bosser & R. Rabev.	published	B/R			ST				Needed					16	RAV0015	17	RAV0015			?		2019	Vulnerable	A4ac		To be assessed in June 2022	Crit. A				2019 VU A4acd	https://www.iucnredlist.org/species/38275/124141556	
D. occulta			Maritima	occulta		Yes		D. occulta Bosser & R. Rabev.	published	B/R			LT				Needed				24	18	JA0704	27.8	JA0705			Yes	Yes	2017	Critically Endangered	B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)		To be assessed in May 2022	Crit. B				2017 CR B1ab(i,ii,iii,v)+2ab(i,ii,iii,v).	https://www.iucnredlist.org/species/38277/67799253	
D. orientalis			Monticola	orientalis		Yes		D. orientalis Bosser & R. Rabev.	published	B/R			LT				Needed				214	35	CR7560	200	KAD0231			Yes	under review	2021	Endangered	A4ac		Done	Crit. A		NW	Done	1998 VU A1cd+2cd	https://www.iucnredlist.org/species/38271/10108613	
D. pervillei			Pervillei	pervillei		Yes		D. pervillei Vatke	published	B/R			LT				Needed				68	12	SAF0458	80, 20	SF132997, SF90-R-127			Yes	Yes	2019	Vulnerable	A4cd		To be assessed in June 2022	Crit. A				2029 VU A4cd	https://www.iucnredlist.org/species/38277/67799253	
D. poolii			Baronii	poolii		Yes	elevated from D. madagascariensis subsp. madagascariensis var. poolii	D. poolii Baker	published	C/W/P			LT			Baron 4393						30	RRN0051	67, 80	NW0281, CR6515										Crit. A						
D. pseudoviguieri 			Peltieri	pseudoviguieri		Yes		D. pseudoviguieri Bosser & R. Rabev.	published	B/R			ST									3	Du Puy M730	2	Du Puy M730			?					Yes	Data ready							
D. pseudobaronii			Humbertii	pseudobaronii		Yes		D. pseudobaronii R. Vig.	published	B/R			LT				Needed				13	30	ALR2449	85	RRN0026			Yes	Yes	2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38280/124141741	
D. purpurascens			Greveana	purpurascens		Yes		D. purpurascens Baill.	published	B/R			LT				Needed				133	30	Du Puy M347	88	KAD0259			Yes	Yes	2019	Vulnerable	A4acd		To be assessed in June 2022	Crit. A			Done	2018 VU A4acd	https://www.iucnredlist.org/species/38284/124141789	
D. suaresensis			Humbertii	suaresensis		Yes		D. suaresensis Baill.	published	B/R			LT				Needed				68	22	NZM0254	46.15	Louvel 1			Yes	Yes	2019	Endangered	B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2019 EN under criteria B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38288/67466346	
D. trichocarpa			Chlorocarpa	trichocarpa		Yes		D. trichocarpa Baker	published	B/R			LT				Needed				155	25	PBP1927	80	SF16512			Yes	Yes	2020	Least Concern			To be assessed in June 2022	Crit. A				2020 LC	https://www.iucnredlist.org/species/36223/177472595	
D. tricolor 			Tricolor	tricolor_tricolor		Yes		D. tricolor Drake	published	B/R			LT				Needed					12	ROZ0018	40 at base	HPB0731			Yes		2019	Vulnerable	A4acd		To be assessed in June 2022	Crit. B				2019 VU A4acd	https://www.iucnredlist.org/species/38293/124141837	
D. tsaratananensis 			Monticola	tsaratananensis		Yes		D. tsaratananensis Bosser & R. Rabev.	published	B/R			ST									9	HPB4194	unknown	HPB4194			Yes		1998	Endangered		Yes	Data ready	Crit. B		NW	Done	1998 EN B1+2abcde	https://www.iucnredlist.org/species/38301/10109065	
D. tsiandalana			Pervillei	tsiandalana		Yes		D. tsiandalana R. Vig.	published	B/R			LT				Needed				8	15	NMR0006	50	SF22-N-311			Yes	Yes	2019	Endangered	B2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2019 EN B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38304/67469973	
D. urschii			Chlorocarpa	urschii		Yes		D. urschii Bosser & R. Rabev.	published	B/R			LT				Needed				13	25	KAD0414	48	KAD0414			Yes	Yes	2019	Endangered	B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2018 EN B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38307/67470203	
D. viguieri 			Baronii	viguieri		Yes		D. viguieri Bosser & R. Rabev.	published	B/R			LT				Needed					16	RIR3877	50	RIR3877			?		2019	Vulnerable	A4acd; B2ab(i,ii,iii,iv,v)		To be assessed in June 2022	Crit. B				2019 VU A4acd; B2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/38297/67470460	
D. xerophila 			Xerophila	xerophila		Yes		D. xerophila Bosser & R. Rabev.	published	B/R			ST									8	RIR3418	14	RIR3418			Yes	Yes	2019	Endangered	B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)		NA					2019 EN B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)	https://www.iucnredlist.org/species/36224/67470851	
