Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
OP	Odile	Poncy	Odile, Poncy	
PBP	Phillipson	Peter B.	Phillipson, Peter B.	
PDB	De Block	Petra	De Block, Petra	
PJ	Rakotomalaza	Pierre Jules	Rakotomalaza, Pierre Jules	
PPL	Lowry	Pete	Lowry, Pete	
PR	Ranirison	Patrick	Ranirison, Patrick	
R	Rabevohitra	Raymond	Rabevohitra, Raymond	
RA	Randrianasolo	Armand	Randrianasolo, Armand	
RAB	Rabearivony	Dimbilala Aina Nomenjanahary	Rabearivony, Dimbilala Aina Nomenjanahary	
RAD	Rabehevitra	David	Rabehevitra, David	
RAF	Rakotoarisoa	Fenonirina	Rakotoarisoa, Fenonirina	
RAG	Rakotonirina	Arsène Giovanni	Rakotonirina, Arsène Giovanni	
RAL	Ravelomalala	Lucia Stefanie	Ravelomalala, Lucia Stefanie	
RAL	Ravelomalala	Lucia S.	Ravelomalala, Lucia S.	
RAM	Razafimalala	Andrée Anne Marie	Razafimalala, Andrée Anne Marie	
RAV	Ravaoherinavalona	Rota	Ravaoherinavalona, Rota	
RB	Ramamonjiarisoa	Bakolimalala	Ramamonjiarisoa, Bakolimalala	
RB	Randriamampionona	Bébéronn	Randriamampionona, Bébéronn	
RBC	Razafindrazaka	Barthelemi	Razafindrazaka, Barthelemi	
RBE	Bernard	Roger	Bernard, Roger	
RBM	Ralaijaona	Benjamina	Ralaijaona, Benjamina	
RBO	Rakotonindriana 	Bruno	Rakotonindriana, Bruno	
RBR	Ramandimbisoa	Brigitte	Ramandimbisoa, Brigitte	
RBU	Bussmann	Rainer	Bussmann, Rainer	
RCN	Rado Claudio	Nandrasana	Rado Claudio, Nandrasana	
RCS	Randrianarivelo	Clairemont	Randrianarivelo, Clairemont	
RD	Ravelonarivo	Désiré	Ravelonarivo, Désiré	
RDG	Randriamahazomanana	Daniel George	Randriamahazomanana, Daniel George	
RDN	Ravelomanantsoa	Daniel	Ravelomanantsoa, Daniel	
RED	Ramisy	Edmond	Ramisy, Edmond	
REH	Razanatsoa	Hélène	Razanatsoa, Hélène	
RER	Raharijaona	Era Riana	Raharijaona, Era Riana	
RF	Rasoavimbahoaka	Fanjanavalona	Rasoavimbahoaka, Fanjanavalona	
RFA	Ratovoson	Fidisoa	"Ratovoson, Fidisoa ""Fidy"""	
RFA	Ratovoson	Fidisoa	Ratovoson, Fidisoa	
RFM	Randriatsivery	Floria Monique	Randriatsivery, Floria Monique	
RFM	Randriatsivery	Monique Fleuria	Randriatsivery, Monique Fleuria	
RFN	Ramanitrinizaka	Fanilo 	Ramanitrinizaka, Fanilo Malala	
RFN	Ramanitrinizaka	Fanilo 	Ramanitrinizaka, Fanilo 	
RFY	Razafindrakoto	Fanjambola Yolande	Razafindrakoto, Fanjambola Yolande	
RHA	Archer	Robert H.	Archer, Robert H.	
RHA	Rasolohery	Andriambolantsoa	Rasolohery, Andriambolantsoa	
RHF	Razafimelison	Herivola Fenitriniela	Razafimelison, Herivola Fenitriniela	
RHJ	Rasoazanany	Haingo Marie Judith	Rasoazanany, Haingo Marie Judith	
RHM	Ramanambohitra	Herinambinina Navalona	Ramanambohitra, Navalona Herinambinina	
RHM	Ramanambohitra	Herinambinina Navalona	Ramanambohitra, Herinambinina Navalona	
RHN	Ravololonanahary	Hantanirina	Ravololonanahary, Hantanirina	
RHS	Ranarivelo	Heritiana	Ranarivelo, Heritiana	
RHS	Ratsaralaza	Herisitraka	Ratsaralaza, Herisitraka	
RHT	Rasatatsihoarana	Thierry H.F.	Rasatatsihoarana, Thierry H.F.	
RHV	Razafindraibe	Hanta	Razafindraibe, Hanta	
RIR	Randrianaivo	Richard	Randrianaivo, Richard	
RJ	Randrianasolo	Joma	Randrianasolo, Joma	
RJ	Roilahy	Justin	Roilahy, Justin	
RJA	Ramahenina	Joharintsoa Aina	Ramahenina, Joharintsoa Aina	
RJB	Razafindrabe	Jean-Baptiste	Razafindrabe, Jean-Baptiste	
RJH	Ramahefarison	Jacquis Harimbolasoa	Ramahefarison, Jacquis Harimbolasoa	
RJL	Randriamanarivo	Juliette	Randriamanarivo, Juliette	
