Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
NM	Messmer	Nathalie	Messmer, Nathalie	NA
NMR	NA	NA	NA	NA
NSR	Rasoanaivo	Niry	Rasoanaivo, Niry	NA
NW	Wilding	Nicholas	Wilding, Nicholas	NA
NZM	Nombanjanahary	Zoherinjina Minosoa	Nombanjanahary, Zoherinjina Minosoa	NA
OA	Andrianantoanina	Olivier	Andrianantoanina, Olivier	NA
OP	Odile	Poncy	Odile, Poncy	NA
PBP	Phillipson	Peter B.	Phillipson, Peter B.	NA
PDB	De Block	Petra	De Block, Petra	NA
PJ	Rakotomalaza	Pierre Jules	Rakotomalaza, Pierre Jules	NA
PPL	Lowry	Pete	Lowry, Pete	NA
PR	Ranirison	Patrick	Ranirison, Patrick	NA
R	Rabevohitra	Raymond	Rabevohitra, Raymond	NA
RA	Randrianasolo	Armand	Randrianasolo, Armand	NA
RAB	Rabearivony	Dimbilala Aina Nomenjanahary	Rabearivony, Dimbilala Aina Nomenjanahary	NA
RAD	Rabehevitra	David	Rabehevitra, David	NA
RAF	Rakotoarisoa	Fenonirina	Rakotoarisoa, Fenonirina	NA
RAG	Rakotonirina	Arsène Giovanni	Rakotonirina, Arsène Giovanni	NA
RAL	Ravelomalala	Lucia Stefanie	Ravelomalala, Lucia Stefanie	NA
RAL	Ravelomalala	Lucia S.	Ravelomalala, Lucia S.	NA
RAM	Razafimalala	Andrée Anne Marie	Razafimalala, Andrée Anne Marie	NA
RAV	Ravaoherinavalona	Rota	Ravaoherinavalona, Rota	NA
RB	Ramamonjiarisoa	Bakolimalala	Ramamonjiarisoa, Bakolimalala	NA
RB	Randriamampionona	Bébéronn	Randriamampionona, Bébéronn	NA
RBC	Razafindrazaka	Barthelemi	Razafindrazaka, Barthelemi	NA
RBE	Bernard	Roger	Bernard, Roger	NA
RBM	Ralaijaona	Benjamina	Ralaijaona, Benjamina	NA
RBO	Rakotonindriana	Bruno	Rakotonindriana, Bruno	NA
RBR	Ramandimbisoa	Brigitte	Ramandimbisoa, Brigitte	NA
RBU	Bussmann	Rainer	Bussmann, Rainer	NA
RCN	Rado Claudio	Nandrasana	Rado Claudio, Nandrasana	NA
RCS	Randrianarivelo	Clairemont	Randrianarivelo, Clairemont	NA
RD	Ravelonarivo	Désiré	Ravelonarivo, Désiré	NA
RDG	Randriamahazomanana	Daniel George	Randriamahazomanana, Daniel George	NA
RDN	Ravelomanantsoa	Daniel	Ravelomanantsoa, Daniel	NA
RED	Ramisy	Edmond	Ramisy, Edmond	NA
REH	Razanatsoa	Hélène	Razanatsoa, Hélène	NA
RER	Raharijaona	Era Riana	Raharijaona, Era Riana	NA
RF	Rasoavimbahoaka	Fanjanavalona	Rasoavimbahoaka, Fanjanavalona	NA
RFA	Ratovoson	Fidisoa	Ratovoson, Fidisoa "Fidy"	NA
RFA	Ratovoson	Fidisoa	Ratovoson, Fidisoa	NA
RFM	Randriatsivery	Floria Monique	Randriatsivery, Floria Monique	NA
RFM	Randriatsivery	Monique Fleuria	Randriatsivery, Monique Fleuria	NA
RFN	Ramanitrinizaka	Fanilo	Ramanitrinizaka, Fanilo Malala	NA
RFN	Ramanitrinizaka	Fanilo	Ramanitrinizaka, Fanilo	NA
RFY	Razafindrakoto	Fanjambola Yolande	Razafindrakoto, Fanjambola Yolande	NA
RHA	Archer	Robert H.	Archer, Robert H.	NA
RHA	Rasolohery	Andriambolantsoa	Rasolohery, Andriambolantsoa	NA
RHF	Razafimelison	Herivola Fenitriniela	Razafimelison, Herivola Fenitriniela	NA
RHJ	Rasoazanany	Haingo Marie Judith	Rasoazanany, Haingo Marie Judith	NA
RHM	Ramanambohitra	Herinambinina Navalona	Ramanambohitra, Navalona Herinambinina	NA
RHM	Ramanambohitra	Herinambinina Navalona	Ramanambohitra, Herinambinina Navalona	NA
